reporting_period,firm_name,complaints_opened,weighted_upheld,uphold_rate_weighted,uphold_rate_weighted_pct
2024H1,Covea Insurance PLC,2243.0,911.3309,0.4063,40.63
2024H1,Coventry Building Society,3964.0,2649.7472,0.6685,66.85
2024H1,Creation Consumer Finance LTD,6333.0,1858.1022,0.2934,29.34
2024H1,Creation Financial Services Limited,667.0,307.7538,0.4614,46.14
2024H1,Cynergy Bank PLC,704.0,603.5094,0.8573,85.73
2024H1,Das Legal Expenses Insurance Company Limited,1947.0,1320.4554,0.6782,67.82
2024H1,Devitt Insurance Services LTD,486.0,128.98440000000002,0.2654,26.54
2024H1,Domestic & General Insurance PLC,48821.0,26822.2574,0.5494,54.94
2024H1,Elavon Financial Services Designated Activity Company,2221.0,392.67280000000005,0.1768,17.68
2024H1,Elderbridge Limited,974.0,533.265,0.5475,54.75
2024H1,Embark Investment Services Limited,1101.0,826.7418,0.7509,75.09
2024H1,Equiniti Financial Services Limited,3255.0,1207.4871,0.371,37.1
2024H1,Ergo Travel Insurance Services LTD,2921.0,1338.4022,0.4582,45.82
2024H1,Esure Insurance Limited,20386.0,16655.361999999997,0.817,81.7
2024H1,Eui Limited,66719.0,42840.2699,0.6421,64.21
2024H1,Exeter Friendly Society Limited,509.0,71.00550000000001,0.1395,13.95
2024H1,Experian Limited,3.0,0.0,0.0,0.0
2024H1,Extracover Limited,561.0,162.129,0.289,28.9
2024H1,Family Equity Plan Limited,1207.0,575.2874,0.4766,47.66
2024H1,Fce Bank PLC,94.0,32.6932,0.3478,34.78
2024H1,Financial Administration Services Limited,2347.0,1258.56,0.5362,53.62
2024H1,First Central Insurance Management Limited,10584.0,4673.8944,0.4416,44.16
2024H1,Firstrand Bank Limited,31.0,7.0463000000000005,0.2273,22.73
2024H1,Fish Administration Limited,530.0,428.611,0.8087,80.87
2024H1,Forester Life Limited,712.0,297.82509999999996,0.4183,41.83
2024H1,Fortegra Europe Insurance Company LTD,4001.0,2053.3132,0.5132,51.32
2024H1,Frasers Group Financial Services Limited,1.0,0.5,0.5,50.0
2024H1,Funding Circle LTD,36.0,9.2556,0.2571,25.71
2024H1,HSBC UK Bank PLC,109178.0,65773.8294,0.6024,60.24
2024H1,Halifax Share Dealing Limited,706.0,369.5624,0.5235,52.35
2024H1,Hargreaves Lansdown Asset Management Limited,5347.0,2885.8109999999997,0.5397,53.97
2024H1,Hastings Insurance Services Limited,18217.0,9687.8006,0.5318,53.18
2024H1,Hbos Investment Fund Managers Limited,754.0,608.5534,0.8071,80.71
2024H1,Helvetia Global Solutions LTD,1363.0,510.85240000000005,0.3748,37.48
2024H1,Hiscox Insurance Company Limited,630.0,312.858,0.4966,49.66
2024H1,Home Retail Group Card Services Limited,4398.0,1066.9548,0.2426,24.26
2024H1,Homeserve Membership Limited,2864.0,952.8528,0.3327,33.27
2024H1,Hood Travel Limited,566.0,286.56579999999997,0.5063,50.63
2024H1,Howserv Limited,2045.0,606.956,0.2968,29.68
2024H1,I Go 4 Ltd.,1208.0,383.41920000000005,0.3174,31.74
2024H1,Ikano Bank Ab (publ),1732.0,668.0323999999999,0.3857,38.57
2024H1,Insurance Factory LTD,3805.0,2337.4114999999997,0.6143,61.43
2024H1,Integra Insurance Solutions Limited,535.0,252.51999999999998,0.472,47.2
2024H1,Interactive Brokers (u.k.) Limited,673.0,122.48599999999999,0.182,18.2
2024H1,Interactive Investor Services Limited,2590.0,1070.8406,0.4135,41.35
2024H1,Invesco Fund Managers Limited,650.0,465.465,0.7161,71.61
2024H1,Investec Bank PLC,506.0,296.06890000000004,0.5851,58.51
2024H1,Investment Funds Direct Limited,606.0,533.4678,0.8803,88.03
2024H1,J D Williams & Company Limited,10.0,0.0,0.0,0.0
2024H1,J.p. Morgan Europe Limited,12121.0,4489.6184,0.3704,37.04
2024H1,James Hay Administration Company LTD,734.0,543.0132,0.7398,73.98
2024H1,Janus Henderson Fund Management UK Limited,792.0,305.8704,0.3862,38.62
2024H1,Kensington Mortgage Company Limited,1055.0,314.4955,0.2981,29.81
2024H1,Kroo Bank LTD,1083.0,340.9284,0.3148,31.48
2024H1,Landmark Mortgages Limited,782.0,374.8908,0.4794,47.94
2024H1,Leaseplan UK Limited,3.0,3.0,1.0,100.0
2024H1,Leeds Building Society,3305.0,1973.8120999999999,0.5972,59.72
2024H1,Legal & General (portfolio Management Services) LTD,571.0,428.098,0.7497,74.97
2024H1,Legal And General Assurance Society Limited,4816.0,3109.4168,0.6456,64.56
2024H1,Lenvi Servicing Limited,1380.0,656.88,0.476,47.6
2024H1,Liverpool Victoria Financial Services Limited,2345.0,1683.5828,0.7179,71.79
2024H1,Liverpool Victoria Insurance Company Limited,10678.0,5145.7282,0.4819,48.19
2024H1,Lloyds Bank General Insurance Limited,6428.0,4375.5396,0.6807,68.07
2024H1,Lloyds Bank PLC,72949.0,46669.4488,0.6398,63.98
2024H1,London And Country Mortgages LTD,615.0,404.5613,0.6578,65.78
2024H1,M & G Securities Limited,852.0,443.04,0.52,52.0
2024H1,MBNA Limited,10690.0,4669.048000000001,0.4368,43.68
2024H1,Manypets LTD,6653.0,4858.0206,0.7302,73.02
