reporting_period,firm_name,product_group,complaints_opened,denominator,complaint_rate_per_1k,denominator_unit
2024H2,Landmark Mortgages Limited,Home finance,751.0,34.61,21.6989,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Leeds Building Society,Banking and credit cards,2049.0,2.04,1004.4118,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Leeds Building Society,Home finance,1271.0,6.36,199.8428,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Legal & General (portfolio Management Services) LTD,Decumulation & pensions,516.0,0.21,2457.1429,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Legal & General (portfolio Management Services) LTD,Investments,6.0,1.1,5.4545,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Legal And General Assurance Society Limited,Decumulation & pensions,1203.0,1.06,1134.9057,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Legal And General Assurance Society Limited,Insurance & pure protection,2920.0,0.67,4358.209,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Liverpool Victoria Financial Services Limited,Decumulation & pensions,431.0,2.47,174.4939,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Liverpool Victoria Financial Services Limited,Insurance & pure protection,1321.0,1.38,957.2464,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Liverpool Victoria Financial Services Limited,Investments,292.0,6.3,46.3492,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Liverpool Victoria Insurance Company Limited,Insurance & pure protection,9279.0,2.28,4069.7368,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Lloyds Bank General Insurance Limited,Insurance & pure protection,5611.0,2.22,2527.4775,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Lloyds Bank PLC,Banking and credit cards,73473.0,2.05,35840.4878,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Lloyds Bank PLC,Decumulation & pensions,58.0,0.3,193.3333,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Lloyds Bank PLC,Home finance,2821.0,7.53,374.6348,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Lloyds Bank PLC,Insurance & pure protection,362.0,0.47,770.2128,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Lloyds Bank PLC,Investments,46.0,0.17,270.5882,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,MBNA Limited,Banking and credit cards,9072.0,3.22,2817.3913,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,MBNA Limited,Insurance & pure protection,9.0,0.36,25.0,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Manypets LTD,Insurance & pure protection,4914.0,16.39,299.817,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Marks & Spencer Financial Services PLC,Banking and credit cards,8226.0,2.91,2826.8041,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Marks & Spencer Financial Services PLC,Insurance & pure protection,112.0,0.14,800.0,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Metlife Europe D.a.c.,Insurance & pure protection,750.0,1.71,438.5965,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Metro Bank PLC,Banking and credit cards,8682.0,3.16,2747.4684,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Metro Bank PLC,Home finance,234.0,8.4,27.8571,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Monzo Bank LTD,Banking and credit cards,50586.0,3.78,13382.5397,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Monzo Bank LTD,Decumulation & pensions,1.0,0.35,2.8571,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Monzo Bank LTD,Investments,165.0,0.74,222.973,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Moorcroft Debt Recovery Limited,Banking and credit cards,578.0,0.71,814.0845,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,National House-building Council,Insurance & pure protection,570.0,0.39,1461.5385,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,National Westminster Bank Public Limited Company,Banking and credit cards,81022.0,2.73,29678.3883,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,National Westminster Bank Public Limited Company,Decumulation & pensions,38.0,4.84,7.8512,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,National Westminster Bank Public Limited Company,Home finance,7113.0,6.28,1132.6433,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,National Westminster Bank Public Limited Company,Investments,184.0,0.84,219.0476,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Nationwide Building Society,Banking and credit cards,58563.0,1.86,31485.4839,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Nationwide Building Society,Home finance,4597.0,2.86,1607.3427,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Newcastle Building Society,Banking and credit cards,558.0,1.45,384.8276,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Newcastle Building Society,Decumulation & pensions,1.0,71.43,0.014,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Newcastle Building Society,Home finance,229.0,5.95,38.4874,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Northern Bank Limited,Banking and credit cards,1472.0,1.7,865.8824,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Northern Bank Limited,Home finance,63.0,1.86,33.871,thousands of relevant accounts/policies (FCA Context - Provision)
