reporting_period,firm_name,total_complaints,period_order,complaint_share_pct
2024H1,The Royal Bank Of Scotland PLC,20286.0,0,1.14
2024H1,The Royal London Mutual Insurance Society Limited,8462.0,0,0.48
2024H1,Topaz Finance Limited,2693.0,0,0.15
2024H1,Tradex Insurance Company PLC,1588.0,0,0.09
2024H1,Triodos Bank UK Limited,687.0,0,0.04
2024H1,U K Insurance Limited,53474.0,0,3.01
2024H1,UK Mortgage Lending LTD,656.0,0,0.04
2024H1,Unum LTD,581.0,0,0.03
2024H1,Usay Business Limited,688.0,0,0.04
2024H1,Utility Warehouse Limited,609.0,0,0.03
2024H1,"Vanguard Asset Management, LTD",2135.0,0,0.12
2024H1,Vanquis Bank Limited,33775.0,0,1.9
2024H1,Vitality Corporate Services Limited,9239.0,0,0.52
2024H1,Vodafone Limited,377.0,0,0.02
2024H1,Volkswagen Financial Services (uk) Limited,3.0,0,0.0
2024H1,Wesleyan Assurance Society,885.0,0,0.05
2024H1,Xbridge Limited,1061.0,0,0.06
2024H1,Yorkshire Building Society,3259.0,0,0.18
2024H1,Zempler Bank Limited,1769.0,0,0.1
2024H1,Zopa Bank Limited,3092.0,0,0.17
2024H1,Zurich Assurance LTD,4165.0,0,0.23
2024H1,Zurich Insurance Company LTD,3455.0,0,0.19
2024H2,Accord Mortgages Limited,892.0,1,0.05
2024H2,Accredited Insurance (europe) LTD,4219.0,1,0.25
2024H2,Acm Ulr Limited,865.0,1,0.05
2024H2,Acorn Insurance & Financial Services LTD,823.0,1,0.05
2024H2,Action 365 LTD,966.0,1,0.06
2024H2,Adrian Flux Insurance Services Group,1665.0,1,0.1
2024H2,Advisory Insurance Brokers Limited,816.0,1,0.05
2024H2,Affinity Insurance Solutions Limited,806.0,1,0.05
2024H2,Ageas Insurance Limited,5058.0,1,0.3
2024H2,Ageas Retail Limited,993.0,1,0.06
2024H2,Aioi Nissay Dowa Insurance UK Limited,2193.0,1,0.13
2024H2,Aj Bell Management Limited,955.0,1,0.06
2024H2,Aj Bell Securities Limited,959.0,1,0.06
2024H2,Aldermore Bank PLC,1444.0,1,0.09
2024H2,Allianz Insurance PLC,2947.0,1,0.17
2024H2,American Express Services Europe Limited,11273.0,1,0.67
2024H2,American International Group UK Limited,1109.0,1,0.07
