reporting_period,firm_name,product_group,complaints_opened,complaints_closed,closure_rate,pct_closed_3days,pct_closed_3to8weeks
2024H1,Black Horse Limited,Home finance,374.0,2.0,0.0053,0.0,1.0
2024H1,Black Horse Limited,Insurance & pure protection,38.0,36.0,0.9474,0.5833,0.3889
2024H1,British Gas Services Limited,Insurance & pure protection,55282.0,55872.0,1.0107,0.755,0.2067
2024H1,Bspoke Underwriting LTD,Insurance & pure protection,526.0,520.0,0.9886,0.2135,0.775
2024H1,Bupa Insurance Services Limited,Insurance & pure protection,33137.0,34166.0,1.0311,0.4765,0.5158
2024H1,Cabot Credit Management Group Limited,Home finance,24.0,26.0,1.0833,0.0769,0.7692
2024H1,Call Assist LTD,Insurance & pure protection,852.0,909.0,1.0669,0.1936,0.8064
2024H1,Canada Life Limited,Decumulation & pensions,886.0,1232.0,1.3905,0.0682,0.6721
2024H1,Canada Life Limited,Insurance & pure protection,156.0,147.0,0.9423,0.3333,0.619
2024H1,Canada Life Limited,Investments,65.0,64.0,0.9846,0.0938,0.7969
2024H1,Capital One (europe) PLC,Banking and credit cards,24807.0,24932.0,1.005,0.1827,0.8019
2024H1,Capital One (europe) PLC,Insurance & pure protection,12.0,14.0,1.1667,0.1429,0.7143
2024H1,Car Care Plan Limited,Insurance & pure protection,978.0,980.0,1.002,0.3684,0.6255
2024H1,Carfinance247 Limited,Insurance & pure protection,146.0,140.0,0.9589,0.0,1.0
2024H1,Charter Court Financial Services Limited,Banking and credit cards,772.0,767.0,0.9935,0.3729,0.6271
2024H1,Charter Court Financial Services Limited,Home finance,1420.0,1495.0,1.0528,0.208,0.7552
2024H1,Chetwood Financial Limited,Banking and credit cards,354.0,334.0,0.9435,0.0299,0.9701
2024H1,Chubb European Group Se,Insurance & pure protection,4575.0,4476.0,0.9784,0.0827,0.9097
2024H1,Citibank UK Limited,Banking and credit cards,1808.0,1807.0,0.9994,0.6342,0.3658
2024H1,Citibank UK Limited,Investments,34.0,39.0,1.1471,0.1795,0.8205
2024H1,Clearbank Limited,Banking and credit cards,3239.0,3176.0,0.9805,0.4424,0.5551
2024H1,Close Brothers Limited,Banking and credit cards,347.0,349.0,1.0058,0.2006,0.7994
2024H1,Close Brothers Limited,Insurance & pure protection,1.0,1.0,1.0,0.0,0.0
2024H1,Clydesdale Bank PLC,Banking and credit cards,32221.0,31343.0,0.9728,0.4278,0.5413
2024H1,Clydesdale Bank PLC,Decumulation & pensions,2.0,2.0,1.0,0.5,0.5
2024H1,Clydesdale Bank PLC,Home finance,2126.0,2020.0,0.9501,0.1342,0.801
2024H1,Clydesdale Bank PLC,Insurance & pure protection,16.0,15.0,0.9375,0.1333,0.5333
2024H1,Clydesdale Bank PLC,Investments,12.0,11.0,0.9167,0.0909,0.5455
2024H1,Cofunds Limited,Decumulation & pensions,109.0,115.0,1.055,0.0261,0.2
2024H1,Cofunds Limited,Investments,962.0,1221.0,1.2692,0.0377,0.3325
2024H1,Columbia Threadneedle Management Limited,Investments,637.0,640.0,1.0047,0.2125,0.7547
2024H1,Compare The Market Limited,Banking and credit cards,0.0,0.0,,,
2024H1,Compare The Market Limited,Insurance & pure protection,505.0,506.0,1.002,0.1759,0.8241
2024H1,Complete Cover Group LTD,Insurance & pure protection,900.0,835.0,0.9278,0.1593,0.8371
2024H1,Connells Limited,Home finance,466.0,484.0,1.0386,0.0248,0.9401
2024H1,Connells Limited,Insurance & pure protection,106.0,111.0,1.0472,0.0991,0.8468
2024H1,Corgi Homeplan LTD,Insurance & pure protection,1956.0,2128.0,1.0879,0.0757,0.8999
2024H1,Coutts & Company,Banking and credit cards,1368.0,1386.0,1.0132,0.487,0.5022
2024H1,Coutts & Company,Decumulation & pensions,13.0,10.0,0.7692,0.0,1.0
2024H1,Coutts & Company,Home finance,131.0,129.0,0.9847,0.1395,0.7132
2024H1,Coutts & Company,Insurance & pure protection,11.0,11.0,1.0,0.6364,0.3636
2024H1,Coutts & Company,Investments,66.0,56.0,0.8485,,0.7857
2024H1,Covea Insurance PLC,Insurance & pure protection,2243.0,2240.0,0.9987,0.1759,0.7866
2024H1,Coventry Building Society,Banking and credit cards,3224.0,3224.0,1.0,0.5282,0.4705
2024H1,Coventry Building Society,Home finance,738.0,741.0,1.0041,0.4696,0.5196
2024H1,Coventry Building Society,Insurance & pure protection,2.0,2.0,1.0,0.5,0.5
