firm_name,reporting_period,complaints_opened,uphold_rate_weighted_pct,uphold_rank
Car Care Plan Limited,2025H2,876.0,23.34,198
Adrian Flux Insurance Services Group,2025H2,2518.0,21.4,199
One Call Insurance Services Limited,2025H2,2980.0,20.2,200
Usay Business LTD,2025H2,629.0,19.44,201
Hood Travel Limited,2025H2,711.0,17.2,202
Asurion Europe Limited,2025H2,1566.0,17.19,203
True Potential Wealth Management LLP,2025H2,1038.0,16.88,204
Exeter Friendly Society Limited,2025H2,1050.0,15.81,205
U.s. Bank Europe Dac,2025H2,1747.0,15.25,206
Swift 1st Limited,2025H2,636.0,14.8,207
Eversure Limited,2025H2,612.0,11.93,208
Munich Re Digital Partners Limited,2025H2,5012.0,10.82,209
Interactive Brokers (u.k.) Limited,2025H2,1116.0,10.7,210
Trading 212 UK Limited,2025H2,2204.0,10.63,211
Etoro (uk) Limited,2025H2,504.0,3.31,212
Close Brothers Limited,2025H2,382.0,0.79,213
Motonovo Finance Limited,2025H2,18.0,0.0,214
Firstrand Bank Limited,2025H2,16.0,0.0,214
Volkswagen Financial Services (uk) Limited,2025H2,15.0,0.0,214
Experian Limited,2025H2,1.0,0.0,214
