firm_name,total_complaints_all_periods,complaints_2025H2,complaints_2025H1,complaints_2024H2,complaints_2024H1
Investec Bank PLC,506.0,0.0,0.0,0.0,506.0
Compare The Market Limited,505.0,0.0,0.0,0.0,505.0
Etoro (uk) Limited,504.0,504.0,0.0,0.0,0.0
Carfinance247 Limited,503.0,199.0,0.0,158.0,146.0
Devitt Insurance Services LTD,486.0,0.0,0.0,0.0,486.0
Business Insurance Solutions Limited,479.0,0.0,0.0,479.0,0.0
Black Horse Limited,412.0,0.0,0.0,0.0,412.0
Fce Bank PLC,394.0,154.0,0.0,146.0,94.0
Cabot Credit Management Group Limited,132.0,35.0,47.0,26.0,24.0
Firstrand Bank Limited,110.0,16.0,21.0,42.0,31.0
Motonovo Finance Limited,105.0,18.0,22.0,24.0,41.0
Volkswagen Financial Services (uk) Limited,100.0,15.0,35.0,47.0,3.0
Funding Circle LTD,100.0,13.0,15.0,36.0,36.0
Tandem Bank Limited,90.0,0.0,0.0,90.0,0.0
Leaseplan UK Limited,46.0,23.0,0.0,20.0,3.0
Pendragon Finance And Insurance Services Limited,34.0,0.0,0.0,0.0,34.0
Admiral Financial Services Limited,25.0,16.0,9.0,0.0,0.0
Arnold Clark Automobiles Limited,21.0,0.0,0.0,0.0,21.0
Link Financial Outsourcing Limited,21.0,10.0,11.0,0.0,0.0
J D Williams & Company Limited,11.0,0.0,0.0,1.0,10.0
Experian Limited,6.0,1.0,0.0,2.0,3.0
Frasers Group Financial Services Limited,1.0,0.0,0.0,0.0,1.0
Santander Consumer (uk) PLC,1.0,0.0,0.0,0.0,1.0
Carmoola Limited,0.0,0.0,0.0,0.0,0.0
Hyundai Capital UK Limited,0.0,0.0,0.0,0.0,0.0
